Park2010,parkCode,RecreationalVisits2010,NonRecreationalVisits2010,TotalVisits2010,RecreationVisitorHours2010,NonRecreationVisitorHours2010,VisitorDays2010,ConcessionerLodging2010,ConcessionerCamping2010,TentOvernights2010,RecreationVehicleOvernights2010,BackcountryOvernights2010,MiscellaneousOvernights2010,NonRecreationOvernights2010,TotalRecreationVisits2010,TotalNonRecreationVisits2010,SumOfTotalVisits2010,TotalRecreationVisitorHours2010,TotalNonRecreationVisitorHours2010,TotalVisitorDays2010,TotalConcessionerLodging2010,TotalConcessionerCamping2010,TotalTentOvernights2010,TotalRecreationVehicleOvernights2010,TotalBackcountryOvernights2010,TotalMiscellaneousOvernights2010,TotalNonRecreationOvernights2010
Big Cypress NPRES,BICY,"775,734",0,"775,734","3,079,301",0,"256,608",0,0,"6,828","13,350","11,021",0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Big Hole NB,BIHO,"45,405",0,"45,405","76,452",0,"6,371",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Big South Fork NRRA,BISO,"657,498",0,"657,498","4,934,959",0,"411,246","5,268",0,"6,637","30,158","17,427","5,983",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Big Thicket NPRES,BITH,"140,072",0,"140,072","394,525",0,"32,877",0,0,0,0,"1,885",0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Bighorn Canyon NRA,BICA,"251,708","6,900","258,608","911,227","3,455","75,935",0,0,"5,354","11,192","3,158",0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Biscayne NP,BISC,"467,688",0,"467,688","1,655,489",0,"137,957",0,0,"3,386",0,0,"7,132",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Black Canyon of the Gunnison NP,BLCA,"166,156",0,"166,156","946,082",0,"78,840",0,0,"7,675","6,685","1,097",0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Blue Ridge PKWY,BLRI,"14,485,052","1,942,260","16,427,312","90,395,509","971,136","7,532,959","50,950",0,"53,075","37,005","2,820","1,366",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Bluestone NSR,BLUE,"35,735",0,"35,735","89,340",0,"7,444",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Booker T. Washington NM,BOWA,"21,454",84,"21,538","37,102",12,"3,091",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Boston African American NHS,BOAF,"310,417",0,"310,417","91,209",0,"7,600",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Boston NHP,BOST,"2,106,145","65,160","2,171,305","2,038,608","11,079","169,884",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Brown v. Board of Education NHS,BRVB,"17,598",0,"17,598","35,196",0,"2,932",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Bryce Canyon NP,BRCA,"1,298,746","528,827","1,827,573","9,456,508","158,648","788,042","50,832",0,"39,941","52,075","1,918","2,081",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Buck Island Reef NM,BUIS,"33,335",0,"33,335","206,050",0,"17,170",0,0,0,0,0,"3,920",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Buffalo NR,BUFF,"1,558,429",0,"1,558,429","9,137,813",0,"761,484","3,973",0,"48,604","17,009","32,703","9,896",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Cabrillo NM,CABR,"774,584","81,794","856,378","1,158,849","20,447","96,570",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Canaveral NS,CANA,"964,408",0,"964,408","2,458,605",0,"204,883",0,0,0,0,"2,358",0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Cane River Creole NHP,CARI,"26,367",0,"26,367","52,732",0,"4,394",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Canyon de Chelly NM,CACH,"821,192","1,206,481","2,027,673","5,567,160","2,412,962","463,930","28,206",0,"8,424","14,529",981,"1,193",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Canyonlands NP,CANY,"435,054",0,"435,054","3,791,255",0,"315,937",0,0,"13,917","8,000","59,985","5,368",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Cape Cod NS,CACO,"4,604,708","29,548","4,634,256","9,361,805","177,288","780,150","4,330",0,0,0,0,"18,438",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Cape Hatteras NS,CAHA,"2,184,706","115,226","2,299,932","9,915,190","411,979","826,265",0,0,"52,776","26,359",0,"5,335",408,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Cape Krusenstern NM,CAKR,"2,086",654,"2,740","4,290","5,232",357,0,0,0,0,412,0,465,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Cape Lookout NS,CALO,"553,363","4,800","558,163","2,578,300","14,400","214,858","23,627",0,0,0,"11,503",0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Capitol Reef NP,CARE,"663,822","50,673","714,495","1,086,312","50,673","90,526",0,0,"15,960","19,269","1,686","2,046",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Capulin Volcano NM,CAVO,"47,839",420,"48,259","67,509",420,"5,625",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Carl Sandburg Home NHS,CARL,"87,645",0,"87,645","133,738",0,"11,144",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Carlsbad Caverns NP,CAVE,"413,775",0,"413,775","1,614,125",0,"134,510",0,0,0,0,165,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Casa Grande Ruins NM,CAGR,"76,842","2,160","79,002","104,665",216,"8,722",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Castillo de San Marcos NM,CASA,"693,262",0,"693,262","519,945",0,"43,328",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Castle Clinton NM,CACL,"4,210,062",648,"4,210,710","2,120,582",186,"176,715",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Catoctin Mountain Park,CATO,"420,424","189,977","610,401","1,734,469","22,503","144,539",0,0,"5,362",987,157,"26,347",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Cedar Breaks NM,CEBR,"502,115","48,063","550,178","1,004,229","96,128","83,685",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Chaco Culture NHP,CHCU,"34,178","10,560","44,738","317,606","10,560","26,467",0,0,"5,012","1,870",0,189,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Chamizal NMEM,CHAM,"219,207","5,760","224,967","303,048","20,163","25,254",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Channel Islands NP,CHIS,"275,128","10,428","285,556","1,869,830","250,272","155,819",0,0,0,0,"30,870","19,727","13,972","281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Charles Pinckney NHS,CHPI,"42,888",0,"42,888","85,773",0,"7,147",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Chattahoochee River NRA,CHAT,"2,942,333",0,"2,942,333","11,769,326",0,"980,777",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Chesapeake & Ohio Canal NHP,CHOH,"4,078,592","11,880","4,090,472","8,233,565","11,880","686,130",0,0,"6,977",0,0,"1,239",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Chickamauga & Chattanooga NMP,CHCH,"972,042","2,276,657","3,248,699","1,902,449","341,498","158,537",0,0,0,0,0,"2,331",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Chickasaw NRA,CHIC,"1,241,449","1,408,296","2,649,745","4,481,348","112,662","373,445",0,0,"33,296","21,069",0,"11,269",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Chiricahua NM,CHIR,"56,203","3,600","59,803","277,512","1,200","23,126",0,0,"3,846","4,184",0,533,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Christiansted NHS,CHRI,"119,756",0,"119,756","62,472",0,"5,206",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
City of Rocks NRES,CIRO,"87,289",0,"87,289","305,514",0,"25,459",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Clara Barton NHS,CLBA,"18,845",0,"18,845","18,845",0,"1,570",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Colonial NHP,COLO,"3,453,815","2,062,515","5,516,330","3,645,906","1,031,257","303,825",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Colorado NM,COLM,"419,147","307,432","726,579","1,167,823","153,717","97,318",0,0,"9,646","7,463",194,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Congaree NP,CONG,"119,425",0,"119,425","451,475",0,"37,622",0,0,0,0,"1,265","3,395",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Coronado NMEM,CORO,"127,391","2,508","129,899","153,350","1,248","12,779",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Cowpens NB,COWP,"231,006",0,"231,006","191,684",0,"15,973",0,0,0,0,0,17,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Crater Lake NP,CRLA,"443,588","49,600","493,188","3,010,227","24,800","250,852","32,118","39,881","5,480",0,"1,745",0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Craters of the Moon NM & PRES,CRMO,"214,956",0,"214,956","633,754",0,"52,812",0,0,"5,761","7,536",104,900,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Cumberland Gap NHP,CUGA,"912,276","8,168,601","9,080,877","1,744,304","5,360,321","145,358",0,0,"3,522","9,914","1,626","1,272",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Cumberland Island NS,CUIS,"99,027",0,"99,027","774,222",0,"64,518",0,0,"12,330",0,"5,300",0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Curecanti NRA,CURE,"963,234",0,"963,234","4,098,946",0,"341,578",0,0,"13,348","39,976",0,"1,691",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Cuyahoga Valley NP,CUVA,"2,563,808",186,"2,563,994","7,353,054",94,"612,754","1,853",0,0,0,0,847,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Dayton Aviation Heritage NHP,DAAV,"63,765",0,"63,765","87,711",0,"7,309",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
De Soto NMEM,DESO,"247,783",0,"247,783","408,840",0,"34,069",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Death Valley NP,DEVA,"1,013,769","37,125","1,050,894","8,012,455","55,686","667,704","43,319","4,770","69,892","103,344",0,"1,924",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Delaware Water Gap NRA,DEWA,"5,285,761","128,154","5,413,915","23,229,141","64,076","1,935,761",0,"16,121",0,0,"53,512","34,672",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Denali NP & PRES,DENA,"379,093","872,682","1,251,775","6,152,655","218,172","512,721",0,0,"22,570","43,486","38,610","1,427",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Devils Postpile NM,DEPO,"84,393",0,"84,393","377,465",0,"31,455",0,0,"3,292","1,272",0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Devils Tower NM,DETO,"431,800","1,922","433,722","1,282,774",962,"106,897",0,0,"9,021","6,385",0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Dinosaur NM,DINO,"207,872",732,"208,604","1,685,858",732,"140,488",0,0,"15,941","6,753","26,273",0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Dry Tortugas NP,DRTO,"53,100",438,"53,538","661,005","5,256","55,083",0,0,"3,252",0,0,"10,228",438,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Edgar Allan Poe NHS,EDAL,"17,062",0,"17,062","17,062",0,"1,421",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Effigy Mounds NM,EFMO,"75,339","1,100","76,439","188,348",187,"15,695",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Eisenhower NHS,EISE,"60,867",0,"60,867","97,388",0,"8,115",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
El Malpais NM,ELMA,"124,237",720,"124,957","508,755",180,"42,396",0,0,0,0,656,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
El Morro NM,ELMO,"51,601","10,727","62,328","153,758","3,541","12,813",0,0,"1,472","1,189",0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
