Park2010,parkCode,RecreationalVisits2010,NonRecreationalVisits2010,TotalVisits2010,RecreationVisitorHours2010,NonRecreationVisitorHours2010,VisitorDays2010,ConcessionerLodging2010,ConcessionerCamping2010,TentOvernights2010,RecreationVehicleOvernights2010,BackcountryOvernights2010,MiscellaneousOvernights2010,NonRecreationOvernights2010,TotalRecreationVisits2010,TotalNonRecreationVisits2010,SumOfTotalVisits2010,TotalRecreationVisitorHours2010,TotalNonRecreationVisitorHours2010,TotalVisitorDays2010,TotalConcessionerLodging2010,TotalConcessionerCamping2010,TotalTentOvernights2010,TotalRecreationVehicleOvernights2010,TotalBackcountryOvernights2010,TotalMiscellaneousOvernights2010,TotalNonRecreationOvernights2010
Abraham Lincoln Birthplace NHP,ABLI,"175,027",0,"175,027","175,027",0,"14,585",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Acadia NP,ACAD,"2,480,338","47,100","2,527,438","12,722,875","47,100","1,060,239",0,0,"120,393","28,302",873,"8,499",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Adams NHP,ADAM,"158,641","2,869","161,510","170,529","1,437","14,210",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
African Burial Ground NM,AFBG,"91,402",0,"91,402","44,584",0,"3,715",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Agate Fossil Beds NM,AGFO,"12,184",0,"12,184","30,591",0,"2,549",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Alibates Flint Quarries NM,ALFL,"3,788",0,"3,788","9,473",0,789,0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Allegheny Portage Railroad NHS,ALPO,"104,990",180,"105,170","131,751",48,"10,979",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Amistad NRA,AMIS,"1,569,412","1,128","1,570,540","11,813,439","1,128","984,453",0,0,705,"26,256","2,600",175,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Andersonville NHS,ANDE,"132,078",0,"132,078","264,153",0,"22,012",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Andrew Johnson NHS,ANJO,"58,495",0,"58,495","33,991",0,"2,832",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Aniakchak NM & PRES,ANIA,60,0,60,"7,752",0,646,0,0,0,0,312,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Antietam NB,ANTI,"388,279",0,"388,279","706,555",0,"58,879",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Apostle Islands NL,APIS,"154,902","1,054","155,956","709,855",267,"59,154",0,0,0,0,"15,639","8,836",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Appomattox Court House NHP,APCO,"206,201",0,"206,201","170,793",0,"14,232",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Arches NP,ARCH,"1,014,183",0,"1,014,183","4,171,658",0,"347,638",0,0,"23,470","15,490",929,"7,157",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Arkansas Post NMEM,ARPO,"34,045",0,"34,045","51,067",0,"4,255",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Arlington House The R.E. Lee MEM,ARHO,"628,987",0,"628,987","314,493",0,"26,207",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Assateague Island NS,ASIS,"2,080,573","3,600","2,084,173","17,857,976","3,600","1,488,164",0,0,"40,022","23,575","2,067","17,412",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Aztec Ruins NM,AZRU,"36,968",894,"37,862","55,454","1,343","4,621",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Badlands NP,BADL,"960,973","18,864","979,837","4,184,008","9,432","348,667","6,466","23,540","3,504","1,124","1,565",151,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Bandelier NM,BAND,"228,458",840,"229,298","800,970",132,"66,747",0,0,"1,972","1,777",652,"3,719",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Bent's Old Fort NHS,BEOL,"28,160",0,"28,160","49,281",0,"4,106",0,0,0,0,0,0,0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Bering Land Bridge NPRES,BELA,"2,137","1,062","3,199","6,411","8,496",534,0,0,0,0,"1,007",0,572,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
Big Bend NP,BIBE,"367,608","2,364","369,972","8,687,102","7,092","723,925","47,048","9,939","41,215","25,856","22,501","31,600",0,"281,624,300","155,067,942","436,692,242","1,238,033,912","81,218,977","103,169,492","3,479,455","1,263,072","3,247,168","2,224,402","1,773,806","2,382,703","204,059"
